location,district,rooms,size,level,max_levels,price
"город Ташкент, Шайхантахурский район, Самарканд Дарвоза",Шайхантахурский,2,75,4,7,47000
"город Ташкент, Яшнободский район, Махтумкули",Яшнободский,2,65,2,7,65999
"город Ташкент, Чиланзарский район, Чиланзар квартал 20А",Чиланзарский,3,62,3,6,68000
"город Ташкент, Мирзо-Улугбекский район, Хумаюн",Мирзо-Улугбекский,3,95,5,5,50000
"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,5,95,4,4,70000
"город Ташкент, Чиланзарский район, Чиланзар квартал Е",Чиланзарский,1,28,2,4,30000
"город Ташкент, Яшнободский район, Паркентская (Генерала Петрова,) ",Яшнободский,4,110,6,9,113000
"город Ташкент, Мирзо-Улугбекский район, Городок Тракторостроителей 2-й квартал",Мирзо-Улугбекский,2,60,6,9,34000
"город Ташкент, Юнусабадский район, Минор",Юнусабадский,3,53,3,4,74900
"город Ташкент, Юнусабадский район, Юнусабад 16-й квартал",Юнусабадский,3,70,5,5,40000
"город Ташкент, Юнусабадский район, Киёт",Юнусабадский,4,130,8,9,115000
"город Ташкент, Яшнободский район, Эльбека",Яшнободский,3,105,1,5,92000
"город Ташкент, Юнусабадский район, Матонат",Юнусабадский,4,85,2,4,74900
"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,2,47,4,4,48000
"город Ташкент, Яккасарайский район, Мукими",Яккасарайский,3,70,6,8,85000
"город Ташкент, Чиланзарский район, Катта козиробод",Чиланзарский,3,77,1,4,49500
"город Ташкент, Мирзо-Улугбекский район, Мирзо Улугбека",Мирзо-Улугбекский,3,80,5,7,104900
"город Ташкент, Мирзо-Улугбекский район, Городок Тракторостроителей 2-й квартал",Мирзо-Улугбекский,2,43,4,4,28500
"город Ташкент, Яккасарайский район, Ул. ШОТА РУСТАВИЛИ",Яккасарайский,2,56,4,5,54000
"город Ташкент, Шайхантахурский район, Дружба",Шайхантахурский,5,190,2,5,130000
"город Ташкент, Мирзо-Улугбекский район, Хумаюн",Мирзо-Улугбекский,2,60,3,5,31000
"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,2,54,2,4,38000
"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,3,90,7,9,60000
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,2,48,3,4,37800
"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,3,57,1,4,42500
"город Ташкент, Яшнободский район, Туйтепа",Яшнободский,2,65.80,2,9,63000
"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,1,30,3,5,21000
"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,3,67,2,4,52500
"город Ташкент, Чиланзарский район, Чиланзар квартал 20А",Чиланзарский,3,70,3,4,45000
"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,3,65,3,4,46500
"город Ташкент, Мирзо-Улугбекский район, ПАРКЕНТСКИЙ (Новостройка ), СРОЧНО!!!",Мирзо-Улугбекский,4,106,6,8,115000
"город Ташкент, Мирзо-Улугбекский район, Олой",Мирзо-Улугбекский,2,60,2,5,38200
"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,4,88,7,9,75000
"город Ташкент, Мирабадский район, Шахрисабз",Мирабадский,5,135,3,9,105000
"город Ташкент, Яккасарайский район, Конституция",Яккасарайский,4,110,5,8,120000
"город Ташкент, Яккасарайский район, Башлык",Яккасарайский,2,65,2,9,41500
"город Ташкент, Яшнободский район, Садыка Азимова",Яшнободский,3,75,6,9,85000
"город Ташкент, Чиланзарский район, Чиланзар 17-й квартал",Чиланзарский,4,76,2,4,58000
"город Ташкент, Юнусабадский район, Киёт",Юнусабадский,3,108,8,8,120000
"город Ташкент, Юнусабадский район, Юнусабад 14-й квартал",Юнусабадский,2,64,2,9,41000
"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,2,42,4,4,27000
"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,2,50,3,4,35500
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,2,58,8,9,31500
"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,4,124,5,5,87000
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,2,48,2,4,45000
"город Ташкент, Мирзо-Улугбекский район, Феруза-2",Мирзо-Улугбекский,2,47,4,4,30000
"город Ташкент, Юнусабадский район, Ул дехкон",Юнусабадский,3,76,3,5,48000
"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули (Луначарское) ",Мирзо-Улугбекский,1,41,4,4,34000
"город Ташкент, Мирзо-Улугбекский район, Феруза-3",Мирзо-Улугбекский,2,50,2,4,42200
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,2,50,5,5,31000
"город Ташкент, Мирзо-Улугбекский район, Мусаввирлар (Художников) ",Мирзо-Улугбекский,1,35,3,5,25500
"город Ташкент, Мирзо-Улугбекский район, городской посёлок Улугбек",Мирзо-Улугбекский,2,56,2,2,32000
"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,5,109,5,5,83000
"город Ташкент, Мирабадский район, Нукус",Мирабадский,4,166,6,9,141500
"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,3,70,3,5,49000
"город Ташкент, Яшнободский район, Чулпон",Яшнободский,3,103,7,9,64996
"город Ташкент, Мирабадский район, Нукус",Мирабадский,5,236,8,9,190000
"город Ташкент, Шайхантахурский район, Бешагач",Шайхантахурский,3,70,4,9,56000
"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,2,52,4,5,32000
"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,2,58,1,5,36000
"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",Мирзо-Улугбекский,2,65,1,9,55000
"город Ташкент, Мирзо-Улугбекский район, Зиёлилар",Мирзо-Улугбекский,2,40,1,3,25000
"город Ташкент, Яшнободский район, Асалабад-2",Яшнободский,3,76,2,4,54000
"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Чиланзарский,3,105,6,9,80000
"город Ташкент, Мирабадский район, Сарыкульская",Мирабадский,3,65,4,4,33500
"город Ташкент, Чиланзарский район, Чиланзар 1-й квартал",Чиланзарский,1,28,4,4,30500
"город Ташкент, Яшнободский район, Тузель 2-й квартал",Яшнободский,5,110,3,5,58000
"город Ташкент, Учтепинский район, Чиланзар 13-й квартал",Учтепинский,2,52,1,4,37000
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,3,78,3,9,45000
"город Ташкент, Учтепинский район, Чиланзар 22-й квартал",Учтепинский,3,65,4,4,35000
"город Ташкент, Учтепинский район, Гулистон",Учтепинский,2,50,4,4,40500
"город Ташкент, Учтепинский район, Гулистон",Учтепинский,2,72,9,9,36000
"город Ташкент, Учтепинский район, Кизил Шарк",Учтепинский,2,50,1,4,46500
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,3,70,4,4,48000
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,3,71,2,4,45000
"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Учтепинский,4,90,3,5,66000
"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Учтепинский,3,70,4,5,46500
"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Учтепинский,3,72,8,9,42500
"город Ташкент, Чиланзарский район, Чиланзар квартал И",Чиланзарский,3,64,5,9,51000
"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Учтепинский,3,92,1,4,65000
"город Ташкент, Шайхантахурский район, Международный деловой центр Tashkent City",Шайхантахурский,2,59,2,9,51000
"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,6,184,9,9,103000
"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,3,68,4,4,38000
"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,3,96,8,9,52500
"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,3,68,2,4,47000
"город Ташкент, Чиланзарский район, Чиланзар 17-й квартал",Чиланзарский,3,65,3,4,44000
"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Чиланзарский,3,70,5,9,55000
"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Чиланзарский,1,34,4,5,27500
"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Чиланзарский,1,34,1,4,30500
"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,2,58,7,9,32000
"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,3,75,5,5,48000
"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,2,48,5,5,29800
"город Ташкент, Учтепинский район, Чиланзар 14-й квартал",Учтепинский,3,67,2,4,49500
"город Ташкент, Учтепинский район, Чиланзар 14-й квартал",Учтепинский,2,50,2,4,33999
"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,3,140,4,5,175000
"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,2,47,4,4,32000
"город Ташкент, Учтепинский район, Чиланзар квартал Г9А",Учтепинский,2,46,4,4,29500
"город Ташкент, Учтепинский район, Чиланзар квартал Г9А",Учтепинский,2,38,4,4,31000
"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,2,47,4,4,32500
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,2,45,4,4,35500
"город Ташкент, Чиланзарский район, Чиланзар 4-й квартал",Чиланзарский,3,65,4,4,42000
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,1,43,3,4,43800
"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,2,42,3,4,35500
"город Ташкент, Учтепинский район, Такачи",Учтепинский,2,54,3,5,37000
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,2,60,5,9,63000
"город Ташкент, Учтепинский район, Изза",Учтепинский,3,80,4,9,53000
"город Ташкент, Чиланзарский район, Кирк-Киз",Чиланзарский,3,90,9,9,56000
"город Ташкент, Учтепинский район, Гулистон",Учтепинский,4,80,3,4,75000
"город Ташкент, Учтепинский район, Гулистон",Учтепинский,4,105,8,9,55000
"город Ташкент, Учтепинский район, Гулистон",Учтепинский,3,91,4,9,47000
"город Ташкент, Учтепинский район, Гулистон",Учтепинский,2,60,1,4,56000
"город Ташкент, Шайхантахурский район, Хадра",Шайхантахурский,2,58,2,4,49000
"город Ташкент, Мирзо-Улугбекский район, Аккурган",Мирзо-Улугбекский,2,53,5,5,37000
"город Ташкент, Учтепинский район, Чиланзар 14-й квартал",Учтепинский,2,48,3,4,34500
"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,2,54,3,5,39000
"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,1,43,9,9,24500
"город Ташкент, Учтепинский район, Чиланзар 22-й квартал",Учтепинский,4,84,4,4,60000
"город Ташкент, Учтепинский район, Чиланзар 21-й квартал",Учтепинский,2,47,2,4,31500
"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,2,50,2,4,30500
"город Ташкент, Учтепинский район, Чиланзар 21-й квартал",Учтепинский,4,96,5,5,54000
"город Ташкент, Чиланзарский район, Чиланзар 17-й квартал",Чиланзарский,4,130,6,9,75000
"город Ташкент, Учтепинский район, Чиланзар 13-й квартал",Учтепинский,3,67,2,5,58000
"город Ташкент, Учтепинский район, Чиланзар 13-й квартал махалля Кухна-Чупонота",Учтепинский,3,92,4,4,55000
"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,2,46,2,4,35000
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,2,43,2,4,32500
"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,2,44,1,4,36000
"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,1,30,4,4,27000
"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,3,55,4,4,48500
"город Ташкент, Сергелийский район, Сергели-VIII",Сергелийский,6,140,9,9,55000
"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Учтепинский,4,80,3,5,71000
"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Учтепинский,3,57,1,4,38500
"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Учтепинский,2,48,2,5,30500
"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,3,72,1,4,62000
"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,3,72,5,5,40000
"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,2,47,2,4,32000
"город Ташкент, Учтепинский район, Чиланзар 22-й квартал",Учтепинский,2,52,4,4,39000
"город Ташкент, Учтепинский район, Чиланзар 22-й квартал",Учтепинский,2,48,2,4,35500
"город Ташкент, Учтепинский район, Чиланзар 21-й квартал",Учтепинский,1,40,1,4,23500
"город Ташкент, Учтепинский район, Чиланзар 21-й квартал",Учтепинский,1,34,4,4,24000
"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,2,56,4,5,40000
"город Ташкент, Чиланзарский район, Чиланзар квартал 20А",Чиланзарский,3,73,1,4,45000
"город Ташкент, Чиланзарский район, Чиланзар квартал 20А",Чиланзарский,2,64,5,5,37000
"город Ташкент, Чиланзарский район, Чиланзар-20",Чиланзарский,3,96,4,4,49000
"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,3,68,2,4,43000
"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,3,104,9,9,60000
"город Ташкент, Учтепинский район, Чиланзар 13-й квартал",Учтепинский,3,72,3,5,58000
"город Ташкент, Чиланзарский район, Шарк",Чиланзарский,2,58,4,4,32000
"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,3,66,1,3,50500
"город Ташкент, Мирабадский район, Таллимаржон",Мирабадский,3,68,4,5,43000
"город Ташкент, Чиланзарский район, Чиланзар 1-й квартал",Чиланзарский,3,65,5,5,51000
"город Ташкент, Мирабадский район, Госпитальный",Мирабадский,3,85,9,9,59800
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,2,47,1,4,36000
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,1,30,4,4,31000
"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,3,77,5,5,94000
"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,1,20,2,5,19000
"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Чиланзарский,2,52,1,4,39500
"город Ташкент, Учтепинский район, Зарафшанская",Учтепинский,4,112,1,3,90000
"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,3,68,4,4,36000
"город Ташкент, Чиланзарский район, Богистон",Чиланзарский,3,75,6,9,65000
"город Ташкент, Шайхантахурский район, Гульхани",Шайхантахурский,1,34,4,4,26000
"город Ташкент, Учтепинский район, Чиланзар квартал Г9А",Учтепинский,1,34,4,4,23500
"город Ташкент, Чиланзарский район, Наккашлык",Чиланзарский,1,17,5,9,12000
"город Ташкент, Учтепинский район, Чиланзар 22-й квартал",Учтепинский,1,22,4,4,15500
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,1,30,4,5,25000
"город Ташкент, Учтепинский район, Гулистон",Учтепинский,6,135,3,9,100000
"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,4,84,4,4,62000
"город Ташкент, Чиланзарский район, Наккашлык",Чиланзарский,4,80,4,4,55000
"город Ташкент, Учтепинский район, Гулистон",Учтепинский,3,70,3,9,42000
"город Ташкент, Учтепинский район, Чиланзар 26-й квартал",Учтепинский,3,67,4,5,47000
"город Ташкент, Учтепинский район, Чиланзар 21-й квартал",Учтепинский,3,68,2,4,45000
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,3,70,3,9,44000
"город Ташкент, Чиланзарский район, Чиланзар 17-й квартал",Чиланзарский,2,50,4,4,34000
"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,2,45,4,4,37000
"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,4,100,9,9,48000
"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,2,47,4,4,28500
"город Ташкент, Учтепинский район, Изза",Учтепинский,4,96,5,9,52500
"город Ташкент, Учтепинский район, 1-й проезд Изза",Учтепинский,4,100,8,9,50000
"город Ташкент, Учтепинский район, Гулистон",Учтепинский,2,54,1,5,42000
"город Ташкент, Чиланзарский район, Алгоритм",Чиланзарский,4,98,5,9,67000
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,4,95,9,9,49000
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,3,71,3,9,52000
"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Учтепинский,4,90,3,5,62000
"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,4,102,5,5,70000
"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Чиланзарский,3,65,4,4,47000
"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,5,120,1,4,87000
"город Ташкент, Шайхантахурский район, Гульхани",Шайхантахурский,4,94,1,9,92000
"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,4,160,9,9,85000
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,3,63,1,4,68998
"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,2,48,5,5,27000
"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,2,42,4,4,31000
"город Ташкент, Мирабадский район, Учувчилар",Мирабадский,3,68,3,4,34000
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,1,35,1,4,41000
"город Ташкент, Мирабадский район, Абдурауфа Фитрата",Мирабадский,3,68,3,4,34000
"город Ташкент, Олмазорский район, Каракамыш-2/3",Олмазорский,2,59.60,6,9,32000
"город Ташкент, Чиланзарский район, Чиланзар 1-й квартал",Чиланзарский,3,65,3,4,47500
"город Ташкент, Яшнободский район, 1-й проезд Авиасозлар",Яшнободский,1,40,2,4,22999
"город Ташкент, Чиланзарский район, Арнасай",Чиланзарский,1,27,3,3,19500
"город Ташкент, Мирзо-Улугбекский район, 1-й проезд Бузбазар",Мирзо-Улугбекский,1,30,2,5,25200
"город Ташкент, Мирзо-Улугбекский район, Карасу 3-й квартал",Мирзо-Улугбекский,4,96,1,5,88000
"город Ташкент, Шайхантахурский район, Жангох",Шайхантахурский,5,140,7,9,95000
"город Ташкент, Яшнободский район, 1-й проезд Авиасозлар",Яшнободский,2,42,3,4,29600
"город Ташкент, Учтепинский район, Изза",Учтепинский,4,100,9,9,52000
"город Ташкент, Юнусабадский район, Юнусабад 11-й квартал",Юнусабадский,4,125,8,8,150000
"город Ташкент, Юнусабадский район, 1-й проезд Октепа",Юнусабадский,1,38,5,5,23500
"город Ташкент, Мирзо-Улугбекский район, Алтынтепа",Мирзо-Улугбекский,3,78.27,4,9,50670
"город Ташкент, Мирабадский район, Фуркат",Мирабадский,4,90,5,5,43500
"город Ташкент, Мирабадский район, Янгизамон",Мирабадский,4,90,2,9,52000
"город Ташкент, Шайхантахурский район, Гульхани",Шайхантахурский,3,54,3,4,40000
"город Ташкент, Юнусабадский район, Кашкар",Юнусабадский,4,122,8,8,132000
"город Ташкент, Чиланзарский район, Чиланзар квартал Е",Чиланзарский,3,78,5,9,58000
"город Ташкент, Мирабадский район, Янгизамон",Мирабадский,3,75,2,9,46000
"город Ташкент, Юнусабадский район, Кашкар",Юнусабадский,4,135,2,5,130000
"город Ташкент, Мирабадский район, Сайхун",Мирабадский,4,90,4,9,55000
"город Ташкент, Чиланзарский район, Наккошлык",Чиланзарский,3,75,4,4,49800
"город Ташкент, Юнусабадский район, Юнусабад 11-й квартал",Юнусабадский,3,65.50,1,4,55000
"город Ташкент, Олмазорский район, 1-й проезд Нозимахоним",Олмазорский,3,110,1,2,55000
"город Ташкент, Мирабадский район, Абдурауфа Фитрата",Мирабадский,3,68,1,4,39500
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,1,32,3,4,27000
"город Ташкент, Мирабадский район, Фуркат",Мирабадский,2,52,2,4,35500
"город Ташкент, Чиланзарский район, Парус гепермаркет",Чиланзарский,2,65,4,9,45500
"город Ташкент, Учтепинский район, Чиланзар 22-й квартал",Учтепинский,2,50,1,5,34500
"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,1,28,4,4,23500
"город Ташкент, Мирзо-Улугбекский район, Буз-1 (Буз базар) ",Мирзо-Улугбекский,2,55,5,5,35000
"город Ташкент, Мирзо-Улугбекский район, Буз-1 (Буз базар) ",Мирзо-Улугбекский,2,50,5,5,35000
"город Ташкент, Мирабадский район, Улица Нукусская, магазин Гламур",Мирабадский,3,130,9,12,90000
"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,4,84,3,5,63000
"город Ташкент, Мирзо-Улугбекский район, Буз-1 (Буз базар) ",Мирзо-Улугбекский,2,42,2,5,33500
"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Чиланзарский,3,68,1,4,48000
"город Ташкент, Юнусабадский район, Юнусабад 7-й квартал",Юнусабадский,2,50,2,4,30500
"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,3,100,5,5,99000
"город Ташкент, Мирзо-Улугбекский район, жилой комплекс Akay City",Мирзо-Улугбекский,3,83,5,8,110000
"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Учтепинский,4,105,1,4,82000
"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули (Луначарское) ",Мирзо-Улугбекский,4,80,2,4,70000
"город Ташкент, Учтепинский район, Чиланзар 14-й квартал",Учтепинский,2,42,4,4,28500
"город Ташкент, Шайхантахурский район, 1-й проезд Козиробод",Шайхантахурский,3,103,2,8,63000
"город Ташкент, Юнусабадский район, Юнусабад 4-й квартал",Юнусабадский,5,110,9,9,58000
"город Ташкент, Шайхантахурский район, 1-й проезд Аль-Хорезми",Шайхантахурский,3,90,1,5,105000
"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,2,65,1,5,43000
"город Ташкент, Сергелийский район, 1-й проезд 3-й улицы Обод",Сергелийский,2,56,3,7,Договорная
"город Ташкент, Яккасарайский район, Шота Руставели",Яккасарайский,2,58,3,5,57500
"город Ташкент, Мирзо-Улугбекский район, Салом",Мирзо-Улугбекский,2,62,8,9,51498
"город Ташкент, Яшнободский район, Махтумкули",Яшнободский,2,62,2,7,53000
"город Ташкент, Мирзо-Улугбекский район, Карасу 6-й квартал",Мирзо-Улугбекский,2,57,3,5,36000
"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,1,42,2,5,36000
"город Ташкент, Мирзо-Улугбекский район, Лашкарлар",Мирзо-Улугбекский,2,65,6,12,53500
"город Ташкент, Мирзо-Улугбекский район, Алтынтепа",Мирзо-Улугбекский,2,48.36,4,9,31307
"город Ташкент, Мирзо-Улугбекский район, Асака",Мирзо-Улугбекский,4,157,5,9,204100
"город Ташкент, Чиланзарский район, Улица волгоградская",Чиланзарский,1,30,3,4,23000
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,3,67,3,4,39000
"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,3,68,6,9,41500
"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,2,41,5,5,36000
"город Ташкент, Учтепинский район, Чиланзар 14-й квартал",Учтепинский,4,138,2,4,95000
"город Ташкент, Учтепинский район, Чиланзар 14-й квартал",Учтепинский,3,72,3,4,48000
"город Ташкент, Учтепинский район, Чиланзар 14-й квартал",Учтепинский,2,70,1,4,78000
"город Ташкент, Учтепинский район, Чиланзар 14-й квартал",Учтепинский,2,50,1,4,50000
"город Ташкент, Учтепинский район, Чиланзар 13-й квартал",Учтепинский,3,77,4,4,47000
"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Учтепинский,4,116,2,9,105000
"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Учтепинский,3,100,3,4,71000
"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Учтепинский,2,70,1,4,49500
"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Учтепинский,2,50,4,4,37000
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,3,65,1,5,47000
"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,2,41,4,4,31000
"город Ташкент, Мирзо-Улугбекский район, Хумаюн",Мирзо-Улугбекский,4,86,4,4,47000
"город Ташкент, Мирзо-Улугбекский район, Дархан",Мирзо-Улугбекский,2,62,4,12,53000
"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,3,76,2,5,48000
"город Ташкент, Мирзо-Улугбекский район, Карасу-1",Мирзо-Улугбекский,2,62,2,5,38000
"город Ташкент, Мирзо-Улугбекский район, Карасу-2",Мирзо-Улугбекский,3,73,4,5,41500
"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,2,48,5,5,31000
"город Ташкент, Чиланзарский район, площадь Актепа",Чиланзарский,2,52,4,5,37000
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,4,80,1,4,80000
"город Ташкент, Чиланзарский район, Чиланзар-Ц",Чиланзарский,2,45,2,5,43500
"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,2,50,3,5,36000
"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,2,47,2,5,39500
"город Ташкент, Чиланзарский район, Чиланзар квартал И",Чиланзарский,4,100,1,4,100000
"город Ташкент, Чиланзарский район, Чиланзар квартал Е",Чиланзарский,2,54,5,5,36000
"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,1,38,3,5,26500
"город Ташкент, Учтепинский район, Чиланзар 26-й квартал",Учтепинский,4,78,2,4,52000
"город Ташкент, Учтепинский район, Чиланзар 26-й квартал",Учтепинский,3,72,5,5,47500
"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Учтепинский,4,80,2,5,55500
"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,2,58,5,5,32000
"город Ташкент, Чиланзарский район, Чиланзар квартал Г9",Чиланзарский,4,72,5,5,51000
"город Ташкент, Чиланзарский район, Чиланзар квартал Г9",Чиланзарский,3,110,4,4,78500
"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,3,70,2,4,41000
"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,3,57,4,4,55000
"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Чиланзарский,3,70,2,4,47500
"город Ташкент, Чиланзарский район, Наккашлык",Чиланзарский,4,78,4,4,57000
"город Ташкент, Учтепинский район, Гулистон",Учтепинский,2,49,1,4,46000
"город Ташкент, Чиланзарский район, Алмазар",Чиланзарский,3,93,5,9,83500
"город Ташкент, Чиланзарский район, Алмазар",Чиланзарский,5,160,6,9,90000
"город Ташкент, Чиланзарский район, Шарк",Чиланзарский,3,92,7,9,52500
"город Ташкент, Чиланзарский район, Шарк",Чиланзарский,3,75,1,9,46000
