,district,rooms,size,level,max_levels,price
1545,Мирзо-Улугбекский,3,115.0,4,4,87000.0
1546,Шайхантахурский,3,75.0,3,4,61000.0
1547,Юнусабадский,3,77.0,3,5,40000.0
1548,Яккасарайский,2,65.0,5,9,52000.0
1549,Шайхантахурский,2,70.0,5,7,56000.0
1550,Яккасарайский,3,90.0,12,16,49900.0
1551,Сергелийский,2,49.0,3,7,35000.0
1552,Шайхантахурский,5,136.0,2,5,97000.0
1553,Чиланзарский,3,75.0,2,4,53000.0
1554,Шайхантахурский,3,65.0,4,4,48000.0
1555,Юнусабадский,5,125.0,4,9,67000.0
1556,Юнусабадский,4,100.0,2,9,57000.0
1557,Юнусабадский,3,70.0,1,4,57000.0
1558,Мирзо-Улугбекский,3,85.0,2,3,55000.0
1559,Мирабадский,2,90.0,7,9,90000.0
1560,Учтепинский,3,68.0,4,5,42800.0
1561,Юнусабадский,5,100.0,4,5,59000.0
1562,Юнусабадский,1,41.0,2,4,26500.0
1563,Олмазорский,3,94.0,9,9,70000.0
1564,Мирабадский,3,82.0,6,10,63000.0
1565,Юнусабадский,2,52.0,3,4,60000.0
1566,Мирабадский,1,45.0,3,9,56500.0
1567,Юнусабадский,5,118.0,8,9,61000.0
1568,Янгихаётский,5,1.0,6,9,45000.0
1569,Мирзо-Улугбекский,2,64.4,12,12,32000.0
1571,Мирзо-Улугбекский,4,160.0,8,8,160000.0
1572,Юнусабадский,1,36.0,1,4,23000.0
1573,Чиланзарский,4,120.0,5,5,110000.0
1574,Мирабадский,2,60.0,4,9,70000.0
1575,Мирабадский,4,187.0,4,6,145000.0
1576,Яккасарайский,2,60.0,3,5,57000.0
1577,Юнусабадский,4,96.0,7,9,49900.0
1578,Сергелийский,3,80.0,3,9,39000.0
1579,Яккасарайский,2,48.0,4,5,45000.0
1580,Мирзо-Улугбекский,1,32.0,3,4,22500.0
1581,Мирзо-Улугбекский,3,90.0,2,9,50000.0
1582,Юнусабадский,2,77.0,6,6,62000.0
1583,Учтепинский,2,48.0,5,5,30000.0
1584,Яшнободский,2,65.0,2,9,65000.0
1585,Яшнободский,2,50.0,1,4,37000.0
1586,Яшнободский,3,73.0,4,4,34000.0
1587,Мирзо-Улугбекский,3,67.0,4,4,32000.0
1588,Мирабадский,4,107.0,8,9,100000.0
1589,Мирабадский,3,132.0,3,4,65000.0
1590,Чиланзарский,2,52.0,4,4,40000.0
1591,Чиланзарский,3,63.0,3,4,42000.0
1592,Мирзо-Улугбекский,3,78.0,3,4,53000.0
1593,Мирзо-Улугбекский,4,90.0,4,4,75000.0
1594,Шайхантахурский,5,235.0,1,2,140000.0
1595,Мирабадский,3,135.0,3,8,95000.0
1596,Юнусабадский,1,38.0,1,4,26000.0
1597,Мирзо-Улугбекский,3,80.0,4,4,90000.0
1598,Мирзо-Улугбекский,1,38.0,3,4,22500.0
1599,Мирзо-Улугбекский,2,48.0,1,4,29400.0
1600,Яшнободский,3,80.0,6,12,40000.0
1601,Олмазорский,3,113.0,4,4,63000.0
1602,Олмазорский,2,56.0,4,4,32200.0
1603,Юнусабадский,2,61.0,3,4,75000.0
1604,Мирзо-Улугбекский,2,48.0,2,4,31500.0
1605,Мирзо-Улугбекский,3,65.0,4,4,34998.0
1606,Юнусабадский,4,117.0,1,8,135000.0
1607,Яккасарайский,2,56.0,2,5,33500.0
1608,Олмазорский,2,56.0,2,4,32900.0
1609,Мирзо-Улугбекский,3,70.0,3,5,36000.0
1610,Яккасарайский,3,75.0,2,4,55000.0
1611,Шайхантахурский,3,72.0,4,12,45000.0
1612,Учтепинский,2,55.0,3,4,39000.0
1613,Мирзо-Улугбекский,2,50.0,3,4,28500.0
1614,Чиланзарский,2,54.0,3,4,34000.0
1615,Чиланзарский,3,67.0,4,4,45000.0
1616,Мирабадский,4,112.0,6,9,77000.0
1617,Мирзо-Улугбекский,4,145.0,2,5,160000.0
1618,Мирзо-Улугбекский,2,78.0,5,5,39000.0
1619,Янгихаётский,3,50.0,1,7,44600.0
1620,Учтепинский,2,52.0,4,5,28500.0
1621,Мирзо-Улугбекский,2,59.0,5,5,30000.0
1622,Чиланзарский,1,30.0,3,4,22300.0
1623,Мирзо-Улугбекский,2,60.0,4,5,30500.0
1624,Шайхантахурский,3,70.0,2,4,56000.0
1625,Юнусабадский,2,54.0,9,9,38000.0
1626,Мирзо-Улугбекский,2,53.0,1,5,62000.0
1627,Учтепинский,2,51.0,4,4,33500.0
1629,Мирзо-Улугбекский,2,65.0,4,4,51000.0
1630,Яшнободский,3,78.0,5,6,32000.0
1631,Мирзо-Улугбекский,2,70.0,5,9,66000.0
1632,Мирабадский,2,65.0,3,4,75000.0
1633,Олмазорский,4,86.0,4,4,39500.0
1634,Яшнободский,2,58.41,3,6,23477.0
1635,Яккасарайский,1,39.0,2,5,27500.0
1636,Мирзо-Улугбекский,3,70.0,3,4,68000.0
1637,Шайхантахурский,3,110.0,7,7,125000.0
1638,Яккасарайский,2,52.0,3,5,63000.0
1639,Учтепинский,2,50.0,5,5,32000.0
1640,Мирабадский,2,65.0,7,9,49000.0
1641,Мирзо-Улугбекский,3,82.0,3,4,120000.0
1642,Мирабадский,3,103.0,4,8,103000.0
1643,Шайхантахурский,3,70.0,7,9,56000.0
1644,Мирзо-Улугбекский,2,50.0,3,4,36000.0
1645,Мирзо-Улугбекский,2,62.0,2,9,42000.0
1646,Мирабадский,2,53.0,9,10,46000.0
1647,Мирабадский,3,72.0,7,9,65000.0
1648,Яшнободский,3,88.0,5,9,73000.0
1649,Мирзо-Улугбекский,1,35.0,4,5,33000.0
1650,Мирзо-Улугбекский,4,93.0,2,5,46500.0
1651,Юнусабадский,2,60.0,3,4,33500.0
1652,Мирабадский,3,103.0,7,8,96000.0
1653,Яккасарайский,3,265.0,1,9,198750.0
1655,Шайхантахурский,3,70.0,1,4,65000.0
1656,Яккасарайский,4,115.0,1,4,135000.0
1657,Юнусабадский,4,91.62,4,5,49000.0
1658,Мирабадский,3,100.0,5,9,100000.0
1659,Яккасарайский,4,120.0,1,4,135000.0
1660,Мирабадский,3,85.0,3,9,82000.0
1661,Мирабадский,3,85.0,5,9,74000.0
1662,Яшнободский,2,58.1,10,11,25907.0
1663,Яккасарайский,3,90.0,3,3,75000.0
1664,Яшнободский,2,82.57,9,9,67000.0
1665,Олмазорский,1,40.52,5,5,22000.0
1666,Чиланзарский,3,115.0,1,9,100000.0
1667,Мирзо-Улугбекский,2,56.0,2,2,30000.0
1668,Чиланзарский,2,68.4,4,9,58500.0
1669,Мирабадский,2,67.0,6,9,51000.0
1670,Мирзо-Улугбекский,2,57.0,9,9,31000.0
1676,Мирзо-Улугбекский,2,57.0,6,9,67000.0
1677,Яккасарайский,5,116.0,3,9,87000.0
1678,Яшнободский,1,35.0,2,9,23500.0
1681,Олмазорский,2,72.0,4,9,39500.0
1682,Юнусабадский,2,55.0,1,4,30500.0
1683,Чиланзарский,2,38.0,4,4,32000.0
1684,Мирзо-Улугбекский,1,30.0,3,4,25000.0
1685,Учтепинский,2,49.0,3,4,32500.0
1686,Юнусабадский,4,100.0,6,9,85000.0
1687,Олмазорский,3,70.0,3,4,40400.0
1688,Яккасарайский,1,64.0,8,12,55708.0
1689,Яшнободский,4,100.0,7,9,44900.0
1690,Мирзо-Улугбекский,1,41.0,2,4,38000.0
1691,Яшнободский,4,80.0,2,5,47000.0
1692,Яккасарайский,1,30.0,5,5,40500.0
1693,Чиланзарский,2,52.0,4,4,46500.0
1694,Мирабадский,2,62.0,1,9,62000.0
1695,Яккасарайский,2,51.0,5,5,53000.0
1696,Мирабадский,4,126.0,1,4,155000.0
1697,Яккасарайский,2,82.0,8,8,69900.0
1699,Юнусабадский,1,50.0,7,9,37500.0
1700,Юнусабадский,4,82.0,1,4,85000.0
1701,Мирабадский,3,88.0,5,5,55000.0
1702,Мирабадский,3,85.0,5,9,74000.0
1703,Чиланзарский,1,27.0,3,3,19500.0
1704,Учтепинский,3,68.0,5,5,36200.0
1705,Мирзо-Улугбекский,3,70.0,4,4,41500.0
1706,Яккасарайский,1,46.0,1,5,36500.0
1707,Мирзо-Улугбекский,4,140.0,5,9,84000.0
1708,Шайхантахурский,5,96.0,1,5,75000.0
1709,Учтепинский,3,65.0,2,4,42000.0
1710,Юнусабадский,4,98.0,2,4,75000.0
1711,Юнусабадский,3,90.0,9,9,62000.0
1712,Мирабадский,3,90.0,3,5,102000.0
1713,Мирабадский,3,90.0,3,5,105000.0
1714,Яккасарайский,4,125.0,7,8,165000.0
1715,Мирзо-Улугбекский,2,60.0,1,9,63000.0
1716,Яккасарайский,2,60.0,3,4,43000.0
1717,Мирабадский,2,65.0,4,9,76000.0
1718,Чиланзарский,3,65.0,1,4,46500.0
1719,Учтепинский,2,45.0,3,4,31000.0
1720,Яшнободский,3,66.0,4,4,36000.0
1721,Юнусабадский,2,46.0,1,4,36000.0
1722,Яккасарайский,2,56.0,4,5,34500.0
1724,Мирзо-Улугбекский,3,78.0,3,5,55000.0
1725,Яшнободский,3,72.0,5,5,45000.0
1726,Яккасарайский,2,48.0,1,4,38000.0
1727,Олмазорский,3,56.0,1,2,27000.0
1728,Мирзо-Улугбекский,2,65.0,4,4,33000.0
1729,Мирабадский,3,75.0,6,9,110000.0
1730,Мирабадский,4,120.0,1,5,135000.0
1731,Мирзо-Улугбекский,1,46.0,2,9,42000.0
1732,Мирабадский,2,63.0,4,9,59999.0
1733,Учтепинский,1,37.0,2,4,26500.0
1734,Яккасарайский,4,104.0,4,5,78500.0
1735,Мирабадский,1,53.0,7,9,46500.0
1736,Мирабадский,3,85.0,3,4,85000.0
1737,Юнусабадский,4,82.0,3,4,75000.0
1738,Яккасарайский,4,82.0,5,5,47500.0
1739,Юнусабадский,3,70.0,4,4,63000.0
1740,Шайхантахурский,2,61.0,2,7,52500.0
1741,Мирзо-Улугбекский,2,65.0,4,5,65000.0
1742,Мирзо-Улугбекский,1,34.0,2,3,21600.0
1743,Юнусабадский,1,32.0,4,4,20000.0
1744,Учтепинский,2,56.0,2,5,33500.0
1745,Чиланзарский,1,36.0,4,4,24500.0
1746,Чиланзарский,1,32.0,1,4,26500.0
1747,Чиланзарский,2,46.0,2,4,35500.0
1748,Учтепинский,2,60.0,5,9,35000.0
1749,Чиланзарский,2,56.0,1,4,39500.0
1750,Чиланзарский,2,56.0,1,4,32500.0
1751,Яшнободский,3,84.0,4,6,37800.0
1752,Учтепинский,1,42.0,4,5,27500.0
1753,Учтепинский,1,42.0,4,5,25000.0
1754,Учтепинский,1,42.0,3,5,29500.0
1756,Чиланзарский,3,61.0,3,4,51500.0
1757,Учтепинский,2,45.0,5,5,28500.0
1758,Чиланзарский,3,60.0,3,9,65000.0
1759,Яккасарайский,3,75.0,1,9,85000.0
1760,Яккасарайский,2,50.0,3,9,40000.0
1761,Олмазорский,1,42.0,3,4,35000.0
1763,Шайхантахурский,3,80.0,9,9,85999.0
1764,Мирабадский,4,155.0,2,12,130000.0
1765,Юнусабадский,2,52.0,2,4,74000.0
1766,Сергелийский,6,130.0,5,9,75000.0
1767,Юнусабадский,3,111.0,6,9,110000.0
1768,Мирабадский,3,75.0,6,9,92000.0
1769,Мирзо-Улугбекский,3,68.0,3,4,82000.0
1770,Яккасарайский,5,116.0,3,9,87000.0
1771,Учтепинский,2,48.0,1,4,42000.0
1772,Чиланзарский,1,30.0,1,4,26700.0
1773,Мирабадский,3,72.0,4,9,80000.0
1774,Яккасарайский,2,50.0,3,5,65000.0
1775,Учтепинский,4,98.0,2,9,75000.0
1776,Яккасарайский,2,52.0,4,5,61000.0
1777,Мирабадский,2,62.0,5,9,76000.0
1779,Шайхантахурский,3,70.0,5,9,58000.0
1780,Яшнободский,4,100.0,1,4,107000.0
1781,Яккасарайский,1,50.0,4,12,52000.0
1782,Мирзо-Улугбекский,4,92.0,2,4,65000.0
1783,Мирабадский,3,120.0,3,8,125000.0
1784,Яккасарайский,2,42.0,4,4,40500.0
1785,Яккасарайский,2,55.0,3,9,50500.0
1787,Яккасарайский,1,34.0,2,5,56000.0
1788,Мирабадский,2,58.0,2,4,62000.0
1789,Яшнободский,2,50.0,1,5,42000.0
1790,Мирзо-Улугбекский,3,131.0,2,8,165000.0
1791,Мирабадский,3,75.0,2,4,75000.0
1792,Учтепинский,3,70.0,3,4,40000.0
1793,Яшнободский,2,55.0,4,5,73500.0
1794,Юнусабадский,2,90.0,2,8,110000.0
1795,Мирзо-Улугбекский,2,60.0,1,9,58000.0
1796,Учтепинский,3,65.0,4,4,44500.0
1797,Чиланзарский,2,70.0,2,9,80000.0
1798,Учтепинский,2,46.0,2,4,37000.0
1799,Чиланзарский,2,50.0,1,4,35500.0
1800,Мирабадский,3,70.0,3,4,42000.0
1801,Юнусабадский,2,60.0,4,5,38000.0
1803,Олмазорский,2,57.0,5,5,33000.0
1805,Сергелийский,5,125.0,6,9,51000.0
1806,Чиланзарский,2,50.0,4,4,34000.0
1807,Юнусабадский,4,90.0,4,5,55000.0
1809,Учтепинский,2,56.0,6,6,37500.0
1810,Олмазорский,2,59.0,5,5,33000.0
1811,Шайхантахурский,3,95.0,3,6,39000.0
1812,Учтепинский,4,96.0,5,9,49900.0
1813,Чиланзарский,2,48.0,1,4,39000.0
1814,Яшнободский,2,45.82,1,5,29000.0
1815,Чиланзарский,2,51.0,5,5,32500.0
1816,Мирзо-Улугбекский,3,70.0,4,4,75000.0
1817,Чиланзарский,1,37.0,1,4,26500.0
1818,Олмазорский,2,69.0,3,9,40795.0
1819,Юнусабадский,4,84.0,3,4,73000.0
1820,Олмазорский,3,69.33,2,4,46000.0
1821,Олмазорский,4,86.0,1,5,57000.0
1822,Чиланзарский,2,48.0,2,4,44000.0
1823,Чиланзарский,4,138.0,1,3,135000.0
1824,Мирзо-Улугбекский,1,42.0,2,4,62000.0
1825,Яккасарайский,3,105.0,1,8,112000.0
1826,Юнусабадский,3,80.0,1,10,90000.0
1827,Яккасарайский,3,80.0,1,10,90000.0
1828,Юнусабадский,2,54.0,2,4,58000.0
1829,Яккасарайский,3,75.0,3,9,53000.0
1830,Шайхантахурский,2,55.0,3,4,43000.0
1831,Яккасарайский,1,27.0,3,3,19500.0
1832,Олмазорский,2,50.0,1,9,37000.0
1833,Олмазорский,2,58.0,2,9,34000.0
1834,Мирзо-Улугбекский,2,45.0,3,3,26000.0
1835,Юнусабадский,1,45.0,5,5,24000.0
1836,Яшнободский,2,58.0,3,3,37000.0
1837,Мирзо-Улугбекский,3,74.0,4,4,51000.0
1838,Мирзо-Улугбекский,3,80.0,1,4,98000.0
1839,Юнусабадский,4,110.0,3,9,88000.0
1840,Мирабадский,3,70.0,2,4,60000.0
1841,Учтепинский,4,80.0,5,5,45000.0
1842,Учтепинский,3,100.0,4,12,54000.0
1843,Яккасарайский,4,110.0,3,10,73000.0
1844,Юнусабадский,1,46.0,7,9,39500.0
1845,Учтепинский,3,78.0,2,4,56000.0
1846,Мирзо-Улугбекский,2,48.0,3,3,33000.0
1847,Юнусабадский,4,99.0,1,4,72000.0
1848,Яккасарайский,1,29.0,9,9,15714.0
1849,Яккасарайский,2,65.0,2,9,52500.0
1850,Мирзо-Улугбекский,2,50.0,1,5,52000.0
1852,Учтепинский,4,80.0,1,4,58000.0
1853,Учтепинский,2,54.0,5,5,30000.0
1854,Учтепинский,3,90.0,2,5,65000.0
1855,Учтепинский,2,50.0,4,4,33000.0
1856,Учтепинский,4,91.0,2,4,65000.0
1857,Мирабадский,2,61.0,2,4,39000.0
1858,Юнусабадский,3,101.0,8,9,125000.0
1859,Яшнободский,3,74.0,8,9,59500.0
1860,Шайхантахурский,3,72.0,2,9,58999.0
1861,Мирзо-Улугбекский,3,90.0,2,9,51000.0
1862,Яккасарайский,3,65.5,2,4,60800.0
1863,Мирзо-Улугбекский,3,73.0,5,5,39000.0
1864,Мирзо-Улугбекский,2,50.0,1,4,30000.0
1865,Мирзо-Улугбекский,2,40.0,1,3,26000.0
1866,Мирзо-Улугбекский,2,40.0,5,5,31500.0
1867,Яккасарайский,1,44.0,2,9,27000.0
1868,Юнусабадский,2,60.0,4,5,37000.0
1869,Яшнободский,1,59.0,3,6,23600.0
1870,Учтепинский,2,47.0,5,5,32000.0
1871,Учтепинский,4,80.0,1,5,70000.0
1872,Учтепинский,4,80.0,5,5,43000.0
1873,Юнусабадский,3,78.0,4,4,55000.0
1874,Мирзо-Улугбекский,2,60.0,6,9,34000.0
1875,Чиланзарский,2,42.0,4,5,28500.0
1876,Мирзо-Улугбекский,2,42.0,2,5,33500.0
1877,Мирзо-Улугбекский,2,55.0,5,5,35000.0
1878,Учтепинский,1,42.0,2,5,28000.0
1879,Мирзо-Улугбекский,2,55.0,4,4,35000.0
1880,Юнусабадский,2,50.0,4,4,33500.0
1881,Сергелийский,1,44.0,5,7,29000.0
1882,Шайхантахурский,3,70.0,2,4,70000.0
1883,Яккасарайский,2,36.0,1,4,30000.0
1885,Мирзо-Улугбекский,2,52.0,1,5,31000.0
1886,Яккасарайский,3,75.0,6,8,115000.0
1887,Яшнободский,3,75.0,5,9,64700.0
1888,Мирзо-Улугбекский,2,50.0,3,4,40000.0
1889,Шайхантахурский,3,78.0,6,9,55000.0
1890,Мирабадский,3,61.0,4,4,60000.0
1891,Учтепинский,2,48.0,5,5,27500.0
1892,Учтепинский,1,42.0,3,5,32000.0
1893,Учтепинский,4,80.0,5,5,48000.0
1894,Учтепинский,2,42.0,1,4,32000.0
1895,Яккасарайский,2,98.0,6,8,95000.0
1896,Олмазорский,3,70.0,3,4,41000.0
1897,Яшнободский,3,75.0,4,9,62000.0
1898,Мирзо-Улугбекский,3,130.0,3,9,155000.0
1899,Мирабадский,4,120.0,1,4,135000.0
1900,Сергелийский,3,56.0,1,7,45000.0
1901,Юнусабадский,3,70.0,1,4,60000.0
1902,Чиланзарский,3,98.0,8,10,60000.0
1903,Олмазорский,5,100.0,4,4,54000.0
1904,Мирабадский,4,121.0,5,9,115000.0
1905,Юнусабадский,2,58.0,4,5,33500.0
1906,Мирабадский,4,92.0,2,5,55000.0
1907,Сергелийский,3,80.0,8,9,41000.0
1908,Мирзо-Улугбекский,3,72.0,4,4,41000.0
1909,Бектемирский,1,41.0,2,2,19000.0
1912,Олмазорский,4,83.0,5,5,40000.0
1913,Яккасарайский,3,72.0,3,4,95000.0
1914,Мирзо-Улугбекский,3,60.0,4,4,29000.0
1915,Яккасарайский,3,76.0,5,9,43500.0
1916,Яккасарайский,1,38.0,2,5,27500.0
1917,Чиланзарский,1,27.0,3,3,19500.0
1918,Яккасарайский,2,58.0,5,5,41000.0
1919,Мирзо-Улугбекский,4,80.0,5,5,47000.0
1920,Мирзо-Улугбекский,3,80.0,4,4,88000.0
1921,Мирзо-Улугбекский,1,36.0,4,4,21000.0
1924,Учтепинский,1,40.0,2,4,26500.0
1925,Юнусабадский,2,52.0,3,4,75000.0
1926,Мирабадский,2,65.0,5,9,71000.0
1927,Чиланзарский,2,48.0,3,4,31000.0
1928,Юнусабадский,2,85.0,5,9,105000.0
1929,Яшнободский,2,59.0,3,6,25408.0
1930,Чиланзарский,1,32.0,3,4,30000.0
1931,Мирабадский,3,65.0,2,2,32500.0
1932,Мирабадский,2,68.0,5,5,44500.0
1933,Шайхантахурский,3,72.0,8,9,55000.0
1934,Юнусабадский,2,65.0,3,4,76000.0
1935,Олмазорский,3,183.0,3,4,90000.0
1936,Учтепинский,2,50.0,1,4,40000.0
1937,Олмазорский,4,130.0,4,4,80000.0
1938,Яшнободский,1,42.0,4,8,14800.0
1939,Олмазорский,3,96.0,4,5,145000.0
1940,Мирзо-Улугбекский,3,88.0,2,4,132000.0
1941,Чиланзарский,2,84.0,3,7,69000.0
1942,Мирзо-Улугбекский,3,85.0,4,4,84000.0
1943,Юнусабадский,2,60.0,6,9,55000.0
1944,Чиланзарский,3,77.0,1,4,48000.0
1946,Чиланзарский,3,60.0,4,4,57500.0
1947,Чиланзарский,4,135.0,4,4,95000.0
1948,Учтепинский,4,97.0,1,9,82000.0
1949,Яккасарайский,2,82.0,6,9,49200.0
1950,Учтепинский,1,40.0,1,4,25500.0
1951,Мирабадский,4,130.0,3,9,105000.0
1952,Яккасарайский,2,64.0,1,5,42000.0
1953,Учтепинский,3,72.0,4,9,43500.0
1954,Мирзо-Улугбекский,1,26.0,1,3,17000.0
1955,Мирзо-Улугбекский,3,100.0,5,7,70000.0
1956,Яшнободский,3,72.0,4,4,80000.0
1957,Мирабадский,2,62.0,9,9,46000.0
1958,Мирабадский,3,75.0,3,4,75000.0
1959,Мирзо-Улугбекский,1,35.0,4,4,29000.0
1960,Мирзо-Улугбекский,1,41.0,1,5,28000.0
1961,Яккасарайский,1,39.0,1,5,26700.0
1962,Юнусабадский,4,94.0,1,9,66000.0
1963,Олмазорский,3,70.0,4,4,37500.0
1964,Мирзо-Улугбекский,3,80.0,3,4,115000.0
1965,Чиланзарский,2,50.0,2,4,46000.0
1966,Мирзо-Улугбекский,4,90.0,2,4,123000.0
1968,Мирзо-Улугбекский,2,42.0,2,4,81000.0
1969,Мирзо-Улугбекский,3,90.0,4,7,55500.0
1970,Мирабадский,4,121.0,2,8,140000.0
1971,Учтепинский,4,80.0,3,5,52000.0
1972,Чиланзарский,1,30.0,1,3,25000.0
1973,Мирзо-Улугбекский,3,70.0,3,4,100000.0
1974,Мирзо-Улугбекский,3,105.0,5,5,100000.0
1975,Мирзо-Улугбекский,3,72.0,4,5,67000.0
1977,Юнусабадский,3,70.0,1,4,72500.0
1978,Яккасарайский,3,105.0,7,10,135000.0
1979,Мирзо-Улугбекский,2,55.0,4,4,60000.0
1980,Чиланзарский,3,72.0,2,4,54000.0
1981,Мирзо-Улугбекский,1,40.0,3,4,60000.0
1982,Чиланзарский,4,132.0,3,8,88308.0
1983,Шайхантахурский,3,68.41,4,9,60000.0
1984,Чиланзарский,3,97.0,4,8,64505.0
1985,Мирзо-Улугбекский,2,59.0,2,4,57500.0
1986,Чиланзарский,3,97.0,3,8,64505.0
1987,Мирзо-Улугбекский,2,62.0,9,9,56500.0
1988,Чиланзарский,3,97.0,7,8,67997.0
1989,Яккасарайский,2,46.0,3,5,46500.0
1990,Яшнободский,1,45.0,2,5,26000.0
1991,Юнусабадский,5,140.0,7,7,77000.0
1992,Яккасарайский,1,39.0,5,5,26700.0
1993,Шайхантахурский,4,125.0,1,5,118000.0
1994,Мирабадский,2,43.0,4,4,20800.0
1995,Яшнободский,3,72.0,8,9,64000.0
1996,Шайхантахурский,5,150.0,2,2,138000.0
1997,Шайхантахурский,2,75.0,4,7,47000.0
1998,Чиланзарский,3,97.0,7,8,67997.0
1999,Юнусабадский,1,42.0,3,4,48500.0
2000,Яккасарайский,5,116.0,3,9,88000.0
2001,Чиланзарский,3,97.0,2,8,66445.0
2002,Шайхантахурский,3,68.41,4,9,60000.0
2003,Мирзо-Улугбекский,2,43.0,5,5,49000.0
2004,Чиланзарский,4,132.0,1,8,96096.0
2005,Чиланзарский,4,132.0,1,8,96096.0
2006,Чиланзарский,3,97.0,1,8,72944.0
2007,Мирабадский,3,110.0,5,9,105000.0
2008,Чиланзарский,3,97.0,1,8,72944.0
2009,Сергелийский,4,96.0,8,9,46000.0
2010,Чиланзарский,3,97.0,1,8,72750.0
2011,Яшнободский,1,37.0,2,8,13067.0
2012,Чиланзарский,3,97.0,8,8,59849.0
2013,Чиланзарский,3,97.0,8,8,59849.0
2014,Учтепинский,2,57.0,1,4,40000.0
2015,Мирзо-Улугбекский,3,126.0,5,6,141922.0
2016,Юнусабадский,2,55.0,5,5,29500.0
2017,Мирзо-Улугбекский,2,57.0,5,5,45000.0
2018,Чиланзарский,3,97.0,8,8,59849.0
2019,Чиланзарский,3,97.0,5,8,61692.0
2020,Юнусабадский,3,68.0,3,4,63000.0
2021,Чиланзарский,1,24.0,3,3,20000.0
2022,Мирзо-Улугбекский,3,80.0,2,4,92000.0
2023,Юнусабадский,3,100.0,2,4,88000.0
2024,Юнусабадский,4,82.0,1,2,104000.0
2025,Мирабадский,2,65.0,2,4,85000.0
2026,Юнусабадский,4,88.0,4,4,78000.0
2027,Юнусабадский,4,90.0,4,5,150000.0
2029,Сергелийский,3,105.6,9,9,45474.0
2030,Яккасарайский,3,70.0,3,3,55000.0
2031,Яккасарайский,1,43.0,5,16,38500.0
2032,Яккасарайский,5,115.0,4,5,70500.0
2033,Яшнободский,3,80.0,2,4,74000.0
2034,Чиланзарский,2,42.0,2,4,32500.0
2035,Учтепинский,2,42.0,1,4,34000.0
2036,Чиланзарский,2,40.0,3,4,38500.0
2037,Мирабадский,3,83.0,7,9,65000.0
2038,Яшнободский,2,56.0,4,9,53000.0
2039,Учтепинский,3,115.0,6,9,80000.0
2040,Юнусабадский,4,97.0,2,9,80000.0
2041,Чиланзарский,6,120.0,1,4,84000.0
2042,Мирабадский,4,200.0,6,9,162000.0
2043,Яшнободский,3,75.0,5,9,79000.0
2044,Мирзо-Улугбекский,3,76.0,2,5,57000.0
2045,Чиланзарский,3,54.0,4,4,37000.0
2046,Шайхантахурский,3,72.0,8,9,42500.0
2047,Олмазорский,1,40.0,5,5,23500.0
2048,Олмазорский,2,60.0,1,4,40000.0
2049,Мирзо-Улугбекский,2,63.0,4,9,55500.0
2050,Мирабадский,5,120.0,8,9,115000.0
2051,Мирабадский,4,100.0,2,16,98000.0
2052,Сергелийский,5,120.0,9,9,59000.0
2053,Мирабадский,3,105.0,7,7,95000.0
2054,Мирабадский,3,94.0,2,7,96000.0
2055,Мирзо-Улугбекский,3,75.0,4,9,66000.0
2056,Яккасарайский,2,83.0,5,7,77000.0
2057,Мирабадский,3,75.0,6,9,103000.0
2058,Яккасарайский,4,105.0,1,9,67000.0
2059,Мирабадский,2,40.0,1,1,23500.0
2060,Мирзо-Улугбекский,2,60.0,2,4,78000.0
2061,Мирабадский,1,38.0,2,9,38000.0
2062,Яккасарайский,5,215.0,8,9,165000.0
2063,Юнусабадский,3,105.0,3,4,69000.0
2064,Мирабадский,2,90.0,9,12,65000.0
2065,Мирабадский,3,75.0,9,9,56000.0
2066,Мирабадский,3,125.0,4,9,130000.0
2067,Мирабадский,2,75.0,3,9,91000.0
2068,Мирабадский,2,80.0,1,9,88000.0
2069,Мирабадский,3,75.0,9,9,80000.0
2070,Яккасарайский,3,80.0,11,16,48000.0
2071,Мирабадский,2,53.0,3,4,54000.0
2072,Яшнободский,3,140.0,2,4,140000.0
2073,Мирабадский,5,120.0,13,16,115000.0
2074,Яккасарайский,2,70.0,1,9,56000.0
2075,Яккасарайский,4,150.0,4,16,64000.0
2076,Юнусабадский,4,86.0,4,4,63000.0
2077,Яшнободский,3,93.0,2,13,33776.0
2078,Юнусабадский,4,110.0,3,9,88000.0
2079,Юнусабадский,1,65.0,2,4,75500.0
2080,Юнусабадский,2,51.0,3,4,50000.0
2081,Юнусабадский,2,60.0,2,9,44500.0
2082,Чиланзарский,3,95.0,7,7,40858.0
2083,Мирзо-Улугбекский,3,80.0,5,5,36000.0
2084,Чиланзарский,3,68.0,3,5,42000.0
2085,Мирзо-Улугбекский,3,86.0,3,4,93000.0
2086,Мирзо-Улугбекский,5,101.0,6,9,86000.0
2087,Мирзо-Улугбекский,2,60.0,1,5,71000.0
2088,Юнусабадский,1,40.0,2,4,62500.0
2089,Яшнободский,3,70.0,2,5,47000.0
2090,Юнусабадский,3,125.0,5,9,110000.0
2091,Яккасарайский,1,44.0,2,9,27000.0
2092,Юнусабадский,2,60.0,9,9,49999.0
2093,Яшнободский,4,94.0,5,9,65000.0
2094,Юнусабадский,4,90.0,2,4,78000.0
2095,Юнусабадский,3,74.0,4,4,64000.0
2096,Мирзо-Улугбекский,3,70.0,4,4,32500.0
2097,Мирзо-Улугбекский,4,100.0,3,4,88000.0
