location,district,rooms,size,level,max_levels,price,lat,lng
"город Ташкент, Чиланзарский район, Чиланзар  19 квартал",Чиланзарский,2,45,1,4,33500,41.2710841,69.1849411
"город Ташкент, Чиланзарский район, Чиланзар 1-й квартал",Чиланзарский,1,28,4,5,23999,41.2847707,69.2288981
"город Ташкент, Шайхантахурский район, Лабзак",Шайхантахурский,3,65,3,4,54000,41.3267124,69.2601886
"город Ташкент, Мирзо-Улугбекский район, Элобод",Мирзо-Улугбекский,3,70,4,4,52000,41.3239567,69.2232092
"город Ташкент, Чиланзарский район, Чопан ота",Чиланзарский,2,56,4,4,35000,41.259418,69.1804708
"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Учтепинский,3,75,1,4,52000,41.2797359,69.1670599
"город Ташкент, Яшнободский район, Садыка Азимова (Жуковского) ",Яшнободский,3,110,5,5,95000,41.3052221,69.2898134
"город Ташкент, Яккасарайский район, Мирабад",Яккасарайский,3,85,2,4,110000,41.2758912,69.2937133
"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,5,246,8,9,119991,41.3146381,69.3228615
"город Ташкент, Мирабадский район, Тараса Шевченко",Мирабадский,3,110,2,8,169000,41.2991561,69.2785087
"город Ташкент, Учтепинский район, 1-й проезд Кувнок",Учтепинский,4,96,1,4,75000,41.3234238,69.1829207
"город Ташкент, Мирзо-Улугбекский район, Городок Тракторостроителей 2-й квартал",Мирзо-Улугбекский,2,50,1,4,31000,41.3292204,69.3473509
"город Ташкент, Шайхантахурский район, Богкуча",Шайхантахурский,3,70,1,9,50000,41.3274311,69.2209268
"город Ташкент, Мирзо-Улугбекский район, Карасу 2-й квартал",Мирзо-Улугбекский,2,60,4,4,44000,41.3318205,69.3644846
"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,3,87.05,5,11,62338,41.3375577,69.3726789
"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,3,121,5,9,75475,41.3133669,69.3235746
"город Ташкент, Юнусабадский район, Шарафабад",Юнусабадский,2,99,1,9,115000,41.3742504,69.3038473
"город Ташкент, Яшнободский район, Лисунова-1 кадышева",Яшнободский,1,40,8,9,20500,41.2853546,69.3491897
"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,2,50,4,4,37000,41.2657122,69.1819609
"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,2,50,4,4,31000,41.2657122,69.1819609
"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,3,80,4,5,56000,41.2673079,69.2415634
"город Ташкент, Мирабадский район, Госпитальный",Мирабадский,2,68,5,5,44500,41.295316,69.275364
"город Ташкент, Юнусабадский район, Минор",Юнусабадский,4,83,4,4,75000,41.3298867,69.2803036
"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Учтепинский,3,80,9,12,42000,41.2978921,69.1804708
"город Ташкент, Учтепинский район, Изза",Учтепинский,4,100,9,9,50000,41.2821153,69.1576663
"город Ташкент, Учтепинский район, Изза",Учтепинский,3,90,1,9,75000,41.2821153,69.1576663
"город Ташкент, Чиланзарский район, Чиланзар 17-й квартал",Чиланзарский,4,92,4,4,61000,41.271386,69.1961168
"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,3,72,7,9,44500,41.2657122,69.1819609
"город Ташкент, Чиланзарский район, Алмазар",Чиланзарский,3,110,4,9,71000,41.2573956,69.1959189
"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Учтепинский,4,82,4,5,50000,41.2978921,69.1804708
"город Ташкент, Учтепинский район, Кухна-Чупонота массив Чиланзар 13-й квартал",Учтепинский,4,84,5,5,47500,41.2902787,69.1839655
"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,4,125,4,4,78000,41.2901628,69.1968618
"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,4,80,1,9,90000,41.2894422,69.2058023
"город Ташкент, Чиланзарский район, Домбрабад",Чиланзарский,4,80,6,9,63000,41.262065,69.2072923
"город Ташкент, Чиланзарский район, Домбрабад",Чиланзарский,4,72,4,4,45000,41.262065,69.2072923
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,3,70,7,9,47000,41.2978921,69.1804708
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,3,72,1,9,45500,41.2978921,69.1804708
"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Учтепинский,3,70,1,12,40000,41.2978921,69.1804708
"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,3,70,1,4,48000,41.260048,69.162198
"город Ташкент, Чиланзарский район, Шарк",Чиланзарский,3,77,5,9,47500,41.300608,69.227256
"город Ташкент, Учтепинский район, Чиланзар 21-й квартал",Учтепинский,3,65,3,4,45000,41.2924208,69.1737654
"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,3,75,2,9,47500,41.2657122,69.1819609
"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,3,70,2,5,52000,41.2953086,69.182706
"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Учтепинский,3,65,3,4,49000,41.281265,69.1879213
"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Учтепинский,3,65,4,4,51000,41.281265,69.1879213
"город Ташкент, Чиланзарский район, площадь Актепа",Чиланзарский,3,75,9,9,63500,41.3001561,69.2108312
"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,3,60,4,4,45000,41.2807837,69.223683
"город Ташкент, Чиланзарский район, Алмазар",Чиланзарский,3,72,7,9,70000,41.2573956,69.1959189
"город Ташкент, Учтепинский район, Гулистон",Учтепинский,2,50,4,4,37500,41.2978921,69.1804708
"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,2,45,5,5,34000,41.2814223,69.1760005
"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,3,87.65,7,11,60675,41.3375577,69.3726789
"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,2,60,7,9,39997,41.3146381,69.3228615
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,1,30,4,4,22500,41.2948119,69.2087824
"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,2,46,2,4,52000,41.2857552,69.2117625
"город Ташкент, Чиланзарский район, Аль-Хорезми-1",Чиланзарский,3,70,9,9,36000,41.262123,69.1647666
"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,2,58,8,9,35000,41.2657122,69.1819609
"город Ташкент, Яккасарайский район, 8 Марта",Яккасарайский,2,48,1,4,38500,41.282487,69.296941
"город Ташкент, Шайхантахурский район, Международный деловой центр Tashkent City",Шайхантахурский,3,80,5,9,68000,41.3365221,69.2824454
"город Ташкент, Яшнободский район, Паркент",Яшнободский,4,110,7,9,68614,41.3146381,69.3228615
"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,4,129.14,5,11,92479,41.3375577,69.3726789
"город Ташкент, Яккасарайский район, Башлык",Яккасарайский,1,44,2,9,27000,41.2697288,69.2512486
"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,2,50,3,5,46000,41.2818558,69.2552666
"город Ташкент, Яккасарайский район, Башлык",Яккасарайский,5,116,3,9,87000,41.2697288,69.2512486
"город Ташкент, Юнусабадский район, Юнусабад 12-й квартал",Юнусабадский,2,46,3,4,37000,41.3777696,69.2922234
"город Ташкент, Мирзо-Улугбекский район, Оккургон",Мирзо-Улугбекский,4,120,2,8,190000,41.3275712,69.3048756
"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,1,35,1,5,27000,41.2857552,69.2117625
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,50,1,5,34500,41.259418,69.1804708
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,36,1,4,26500,41.259418,69.1804708
"город Ташкент, Чиланзарский район, Чиланзар-1",Чиланзарский,2,56,2,5,38000,41.2847707,69.2288981
"город Ташкент, Чиланзарский район, Хамза",Чиланзарский,2,60,2,5,42000,41.2914153,69.223963
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,60,2,9,42500,41.259418,69.1804708
"город Ташкент, Чиланзарский район, Чиланзар-10",Чиланзарский,1,36,4,4,24500,41.2829494,69.1968618
"город Ташкент, Учтепинский район",Учтепинский,2,54,2,4,37000,41.2978921,69.1804708
"город Ташкент, Чиланзарский район, Чиланзар-13",Чиланзарский,2,56,3,5,36000,41.290141,69.1871763
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42,2,5,29500,41.259418,69.1804708
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,60,3,4,33500,41.259418,69.1804708
"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,1,36,2,5,27500,41.2857552,69.2117625
"город Ташкент, Чиланзарский район, Чиланзар 3-й квартал",Чиланзарский,2,44,4,4,36000,41.2855934,69.223683
"город Ташкент, Чиланзарский район, Чиланзар 17-й квартал",Чиланзарский,3,65,1,4,54000,41.271386,69.1961168
"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,3,65,2,5,52000,41.2901628,69.1968618
"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,2,46,3,4,35000,41.2901628,69.1968618
"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,4,105,2,9,135000,41.2710841,69.1849411
"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,2,54,2,4,40000,41.2710841,69.1849411
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,2,42,2,4,39000,41.2948119,69.2087824
"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,4,108.27,5,11,77534,41.3375577,69.3726789
"город Ташкент, Чиланзарский район, Арнасай",Чиланзарский,3,68,4,4,39500,41.2759136,69.2245267
"город Ташкент, Учтепинский район, Изза",Учтепинский,3,77,4,5,43500,41.2821153,69.1576663
"город Ташкент, Юнусабадский район, Юнусабад 14-й квартал",Юнусабадский,3,78,4,5,46000,41.3709551,69.307123
"город Ташкент, Юнусабадский район, 135А",Юнусабадский,3,65,7,9,48000,41.3587493,69.2996732
"город Ташкент, Мирзо-Улугбекский район, Карасу 6-й квартал",Мирзо-Улугбекский,3,90,2,9,51000,41.3292204,69.3473509
"город Ташкент, Мирзо-Улугбекский район, Карасу 6-й квартал",Мирзо-Улугбекский,3,78,5,5,39000,41.3292204,69.3473509
"город Ташкент, Яшнободский район, Паркент",Яшнободский,3,75,6,9,55000,41.3146381,69.3228615
"город Ташкент, Мирзо-Улугбекский район, Массив Ялангач",Мирзо-Улугбекский,1,28,4,4,23500,41.3502965,69.3443711
"город Ташкент, Шайхантахурский район, Ибн Сина-1",Шайхантахурский,3,70,3,5,40000,41.3345513,69.167805
"город Ташкент, Мирабадский район, Куйлюк-Ата",Мирабадский,4,140,2,2,58000,41.2425407,69.3276565
"город Ташкент, Олмазорский район, Олимпия",Олмазорский,2,57,1,4,32000,41.3621443,69.1931366
"город Ташкент, Юнусабадский район, Кашкар",Юнусабадский,2,65,3,9,62000,41.3197131,69.2773236
"город Ташкент, Юнусабадский район, Юнусабад 18-й квартал",Юнусабадский,3,70,3,4,45500,41.3707855,69.3190425
"город Ташкент, Мирзо-Улугбекский район, Ахмада Югнаки",Мирзо-Улугбекский,1,18,3,4,12500,41.3475495,69.3875774
"город Ташкент, Мирзо-Улугбекский район, Ялангач",Мирзо-Улугбекский,2,50,1,4,30000,41.3606566,69.3548004
"город Ташкент, Мирзо-Улугбекский район, Буз-1 (Буз базар) ",Мирзо-Улугбекский,2,40,5,5,31500,41.3215876,69.3230626
"город Ташкент, Мирабадский район, Фаровон",Мирабадский,4,120,9,10,119900,41.2758912,69.2937133
"город Ташкент, Мирзо-Улугбекский район, Элобод",Мирзо-Улугбекский,3,103,4,9,65000,41.3239567,69.2232092
"город Ташкент, Мирабадский район, Чехова",Мирабадский,3,110,2,7,165000,41.2963881,69.276825
"город Ташкент, Олмазорский район, 1-й проезд Чимбой",Олмазорский,3,70,6,9,46000,41.3645355,69.2281531
"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,1,27,3,3,19500,41.2807837,69.223683
"город Ташкент, Мирабадский район, ул.Нукус",Мирабадский,3,100,5,6,115000,41.2897492,69.2750782
"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Учтепинский,3,78,5,5,47500,41.2797359,69.1670599
"город Ташкент, Учтепинский район, Чиланзар 13-й квартал махалля Кухна-Чупонота",Учтепинский,3,65,3,4,66000,41.2902787,69.1839655
"город Ташкент, Чиланзарский район, Чилонзор 17",Чиланзарский,4,79,3,4,57000,41.271386,69.1961168
"город Ташкент, Яшнободский район, Боткина",Яшнободский,2,60,4,9,35900,41.309332,69.3155672
"город Ташкент, Мирзо-Улугбекский район, Олой",Мирзо-Улугбекский,3,78,4,4,54996,41.3171406,69.2892434
"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,2,42,4,5,28500,41.2953086,69.182706
"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,3,68,2,5,53000,41.2857552,69.2117625
"город Ташкент, Чиланзарский район, Дийдор",Чиланзарский,3,94,3,4,57000,41.259418,69.1804708
"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,1,32,2,4,24500,41.2894422,69.2058023
"город Ташкент, Юнусабадский район, Юнусабад 7-й квартал",Юнусабадский,2,50,2,4,30500,41.3716355,69.2691287
"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,3,63,4,4,42000,41.2710841,69.1849411
"город Ташкент, Мирабадский район, Госпитальный",Мирабадский,1,47,4,4,52500,41.295316,69.275364
"город Ташкент, Чиланзарский район, Мукими",Чиланзарский,3,103,4,9,77000,41.2885649,69.2290098
"город Ташкент, Мирзо-Улугбекский район, Элобод",Мирзо-Улугбекский,3,70,4,4,57000,41.3239567,69.2232092
"город Ташкент, Мирзо-Улугбекский район, Ц-2",Мирзо-Улугбекский,3,75,3,4,90000,41.3171406,69.2892434
"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,2,48,3,5,47000,41.2818558,69.2552666
"город Ташкент, Шайхантахурский район, Шофайзи",Шайхантахурский,1,70,6,7,60000,41.3275402,69.2102725
"город Ташкент, Мирзо-Улугбекский район, Феруза-3",Мирзо-Улугбекский,2,50,1,5,35000,41.3550649,69.3585936
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,2,69,9,9,37000,41.2978921,69.1804708
"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Учтепинский,3,104,3,12,61000,41.2978921,69.1804708
"город Ташкент, Чиланзарский район, Чиланзар квартал Е",Чиланзарский,2,48,4,4,42200,41.259418,69.1804708
"город Ташкент, Учтепинский район, Чиланзар 21-й квартал",Учтепинский,4,76,4,4,40000,41.2924208,69.1737654
"город Ташкент, Учтепинский район, Чиланзар 13-й квартал махалля Кухна-Чупонота",Учтепинский,3,67,3,5,63000,41.2902787,69.1839655
"город Ташкент, Мирабадский район, Мирабад",Мирабадский,3,92,2,9,89000,41.2758912,69.2937133
"город Ташкент, Чиланзарский район, Мукими",Чиланзарский,2,85,6,9,51000,41.2885649,69.2290098
"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули (Луначарское) ",Мирзо-Улугбекский,2,42,2,5,33500,41.314662,69.293391
"город Ташкент, Яшнободский район, Эльбека",Яшнободский,2,60,2,9,56000,41.2960584,69.3160808
"город Ташкент, Олмазорский район, 1-й проезд Нозимахоним",Олмазорский,3,110,2,2,55000,41.3539187,69.1953608
"город Ташкент, Мирабадский район, Нукус",Мирабадский,3,80,3,4,83000,41.2910722,69.2769129
"город Ташкент, Чиланзарский район, Мукими",Чиланзарский,1,60,3,9,48000,41.2885649,69.2290098
"город Ташкент, Чиланзарский район, Чиланзар-9",Чиланзарский,4,76,4,4,45000,41.2901628,69.1968618
"город Ташкент, Мирзо-Улугбекский район, Мирзо Улугбека",Мирзо-Улугбекский,2,50,5,5,35500,41.3292204,69.3473509
"город Ташкент, Мирзо-Улугбекский район, Карасу 2-й квартал",Мирзо-Улугбекский,2,62,4,4,39000,41.3318205,69.3644846
"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,1,40,3,4,27000,41.2901628,69.1968618
"город Ташкент, Мирзо-Улугбекский район, Элобод",Мирзо-Улугбекский,2,55,4,4,34998,41.3239567,69.2232092
"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,2,89,9,12,77469,41.2818558,69.2552666
"город Ташкент, Мирзо-Улугбекский район, Городок Тракторостроителей 1-й квартал",Мирзо-Улугбекский,1,30,4,4,20500,41.3445193,69.3447348
"город Ташкент, Юнусабадский район, Юнусабад 11-й квартал",Юнусабадский,2,48,4,4,33500,41.3700057,69.2892434
"город Ташкент, Яшнободский район, жилой комплекс Обод Макон",Яшнободский,3,60,3,5,37000,41.3017691,69.2441976
"город Ташкент, Шайхантахурский район, Ул.увайсий",Шайхантахурский,3,65,1,4,45000,41.3275402,69.2102725
"город Ташкент, Мирабадский район, Якуба Коласа",Мирабадский,3,80,4,4,78000,41.3041021,69.2704038
"город Ташкент, Шайхантахурский район, Хадра",Шайхантахурский,3,75,8,9,52000,41.3242925,69.2505036
"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули",Мирзо-Улугбекский,3,70,4,5,55000,41.3104865,69.2922234
"город Ташкент, Чиланзарский район, Алгоритм",Чиланзарский,3,90,4,12,44000,41.2606228,69.1638237
"город Ташкент, Чиланзарский район, Алгоритм",Чиланзарский,1,45,5,12,31000,41.2606228,69.1638237
"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,3,96,2,4,71000,41.2798237,69.2058023
"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,2,42,3,4,33000,41.2894422,69.2058023
"город Ташкент, Чиланзарский район, Домбрабад",Чиланзарский,4,100,6,9,67500,41.262065,69.2072923
"город Ташкент, Чиланзарский район, Чиланзарский район массив Аль-Хорезми-1",Чиланзарский,6,134,7,9,78000,41.256626,69.155375
"город Ташкент, Мирзо-Улугбекский район, Художников, Буз-1, единое окно",Мирзо-Улугбекский,2,55,4,5,37000,41.3215876,69.3230626
"город Ташкент, Мирабадский район, Фидокор (Чехова) ",Мирабадский,3,70,4,4,59000,41.296644,69.275878
"город Ташкент, Шайхантахурский район, Кинотеатр Гунча",Шайхантахурский,3,79,3,4,48000,41.3303764,69.2219986
"город Ташкент, Мирабадский район, Афросиаб (пр-т Косманавтов) ",Мирабадский,3,65,9,9,58000,41.3051824,69.2638823
"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,4,128.66,5,11,92135,41.3375577,69.3726789
"город Ташкент, Мирзо-Улугбекский район, Карасу 6-й квартал",Мирзо-Улугбекский,1,18,3,3,17500,41.3292204,69.3473509
"город Ташкент, Юнусабадский район, Кашгар",Юнусабадский,1,44,2,5,90000,41.3197131,69.2773236
"город Ташкент, Мирзо-Улугбекский район, проспект Мустакиллик",Мирзо-Улугбекский,3,80,5,5,85000,41.3209122,69.303727
"город Ташкент, Мирзо-Улугбекский район, проспект Мустакиллик",Мирзо-Улугбекский,2,65,3,9,53000,41.3209122,69.303727
"город Ташкент, Яккасарайский район, Конституция",Яккасарайский,2,70,2,7,73500,41.2638329,69.2254764
"город Ташкент, Мирабадский район, Нукус",Мирабадский,2,65,5,9,70000,41.2910722,69.2769129
"город Ташкент, Шайхантахурский район, Джарарык",Шайхантахурский,3,82,2,9,60000,41.3378221,69.1819609
"город Ташкент, Яккасарайский район, Конституция",Яккасарайский,3,120,3,4,130000,41.2638329,69.2254764
"город Ташкент, Яшнободский район, Сандикли",Яшнободский,2,77,4,5,47000,41.3105015,69.3312541
"город Ташкент, Юнусабадский район, Минор",Юнусабадский,3,70,4,4,56000,41.3298867,69.2803036
"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,4,120,9,10,56000,41.2798237,69.2058023
"город Ташкент, Юнусабадский район, проспект Амира Темура",Юнусабадский,3,105,4,4,65000,41.3454697,69.2865609
"город Ташкент, Юнусабадский район, Кашгар",Юнусабадский,2,55,1,4,63000,41.3197131,69.2773236
"город Ташкент, Мирзо-Улугбекский район, Ахмада Югнаки",Мирзо-Улугбекский,3,72,1,4,47500,41.3475495,69.3875774
"город Ташкент, Юнусабадский район, Юнусабад 2-й квартал",Юнусабадский,3,78,8,9,39000,41.3587493,69.2996732
"город Ташкент, Мирзо-Улугбекский район, 1-й переулок Дархан",Мирзо-Улугбекский,2,62,1,9,55700,41.3196336,69.2985928
"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",Мирзо-Улугбекский,4,95,4,4,80000,41.3104865,69.2922234
"город Ташкент, Олмазорский район, 1-й проезд Нозимахоним",Олмазорский,3,97.3,2,2,50000,41.3539187,69.1953608
"город Ташкент, Юнусабадский район, Джавахарлала Неру",Юнусабадский,3,75,9,10,72000,41.3587493,69.2996732
"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,2,49,2,4,33500,41.2657122,69.1819609
"город Ташкент, Шайхантахурский район, Бешагач",Шайхантахурский,3,75,2,4,70000,41.2834892,69.2665263
"город Ташкент, Олмазорский район, Карасарайская",Олмазорский,2,67,2,9,40200,41.3376966,69.243806
"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,4,93,2,4,115000,41.2798237,69.2058023
"город Ташкент, Юнусабадский район, Юнусабад 14-й квартал",Юнусабадский,2,60,3,5,45000,41.3709551,69.307123
"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,2,42,4,5,28500,41.2953086,69.182706
"город Ташкент, Мирабадский район, Нукус",Мирабадский,4,100,5,9,78000,41.2910722,69.2769129
"город Ташкент, Чиланзарский район, Домбрабад",Чиланзарский,2,46,2,4,32000,41.262065,69.2072923
"город Ташкент, Учтепинский район, Чиланзар 26-й квартал",Учтепинский,3,70,3,5,48500,41.2771751,69.1789807
"город Ташкент, Чиланзарский район, Домбрабад",Чиланзарский,2,47,4,4,33000,41.262065,69.2072923
"город Ташкент, Юнусабадский район, проезд Олой Бозори",Юнусабадский,3,135,3,7,200000,41.3188889,69.2844444
"город Ташкент, Мирабадский район, Катта Миробод",Мирабадский,3,75,2,10,125000,41.2758912,69.2937133
"город Ташкент, Яшнободский район, Мавлоно Риёзи жилой комплекс Parkent Village",Яшнободский,5,203,8,8,139999,41.3133669,69.3235746
"город Ташкент, Юнусабадский район, Юнусабад 4-й квартал",Юнусабадский,4,80,3,4,77500,41.3653679,69.2773236
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,2,47,1,4,50000,41.2770171,69.1909015
"город Ташкент, Яшнободский район, Городок Авиастроителей 3-й квартал",Яшнободский,3,62,2,7,50000,41.2922516,69.3419071
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,4,93,9,9,51000,41.2978921,69.1804708
"город Ташкент, Учтепинский район, Чиланзар 26-й квартал",Учтепинский,3,60,5,5,47000,41.2771751,69.1789807
"город Ташкент, Мирзо-Улугбекский район, Академгородок",Мирзо-Улугбекский,5,100,4,4,48000,41.339688,69.340163
"город Ташкент, Учтепинский район, Чиланзар 26-й квартал",Учтепинский,3,70,1,5,48000,41.2771751,69.1789807
"город Ташкент, Шайхантахурский район, Самарканд Дарвоза",Шайхантахурский,2,75,4,7,47000,41.3162377,69.2312263
"город Ташкент, Яшнободский район, Махтумкули",Яшнободский,2,65,2,7,65999,41.3090182,69.2870704
"город Ташкент, Чиланзарский район, Чиланзар квартал 20А",Чиланзарский,3,62,3,6,68000,41.259418,69.1804708
"город Ташкент, Мирзо-Улугбекский район, Хумаюн",Мирзо-Улугбекский,3,95,5,5,50000,41.3427418,69.3875774
"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,5,95,4,4,70000,41.3133669,69.3235746
"город Ташкент, Чиланзарский район, Чиланзар квартал Е",Чиланзарский,1,28,2,4,30000,41.259418,69.1804708
"город Ташкент, Яшнободский район, Паркентская (Генерала Петрова,) ",Яшнободский,4,110,6,9,113000,41.3108224,69.3341149
"город Ташкент, Мирзо-Улугбекский район, Городок Тракторостроителей 2-й квартал",Мирзо-Улугбекский,2,60,6,9,34000,41.3292204,69.3473509
"город Ташкент, Юнусабадский район, Минор",Юнусабадский,3,53,3,4,74900,41.3298867,69.2803036
"город Ташкент, Юнусабадский район, Юнусабад 16-й квартал",Юнусабадский,3,70,5,5,40000,41.3825869,69.3019081
"город Ташкент, Юнусабадский район, Киёт",Юнусабадский,4,130,8,9,115000,41.3245206,69.2773236
"город Ташкент, Яшнободский район, Эльбека",Яшнободский,3,105,1,5,92000,41.2960584,69.3160808
"город Ташкент, Юнусабадский район, Матонат",Юнусабадский,4,85,2,4,74900,41.3245206,69.2773236
"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,2,47,4,4,48000,41.2818558,69.2552666
"город Ташкент, Яккасарайский район, Мукими",Яккасарайский,3,70,6,8,85000,41.2885649,69.2290098
"город Ташкент, Чиланзарский район, Катта козиробод",Чиланзарский,3,77,1,4,49500,41.2773103,69.2152083
"город Ташкент, Мирзо-Улугбекский район, Мирзо Улугбека",Мирзо-Улугбекский,3,80,5,7,104900,41.3292204,69.3473509
"город Ташкент, Мирзо-Улугбекский район, Городок Тракторостроителей 2-й квартал",Мирзо-Улугбекский,2,43,4,4,28500,41.3292204,69.3473509
"город Ташкент, Яккасарайский район, Ул. ШОТА РУСТАВИЛИ",Яккасарайский,2,56,4,5,54000,41.2911414,69.2601933
"город Ташкент, Шайхантахурский район, Дружба",Шайхантахурский,5,190,2,5,130000,41.3114122,69.2419499
"город Ташкент, Мирзо-Улугбекский район, Хумаюн",Мирзо-Улугбекский,2,60,3,5,31000,41.3427418,69.3875774
"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,2,54,2,4,38000,41.2657122,69.1819609
"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,3,90,7,9,60000,41.260048,69.162198
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,2,48,3,4,37800,41.2770171,69.1909015
"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,3,57,1,4,42500,41.2894422,69.2058023
"город Ташкент, Яшнободский район, Туйтепа",Яшнободский,2,65.8,2,9,63000,41.3057448,69.2888203
"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,1,30,3,5,21000,41.2894422,69.2058023
"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,3,67,2,4,52500,41.2901628,69.1968618
"город Ташкент, Чиланзарский район, Чиланзар квартал 20А",Чиланзарский,3,70,3,4,45000,41.259418,69.1804708
"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,3,65,3,4,46500,41.2807837,69.223683
"город Ташкент, Мирзо-Улугбекский район, ПАРКЕНТСКИЙ (Новостройка ), СРОЧНО!!!",Мирзо-Улугбекский,4,106,6,8,115000,41.3466485,69.3328133
"город Ташкент, Мирзо-Улугбекский район, Олой",Мирзо-Улугбекский,2,60,2,5,38200,41.3171406,69.2892434
"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,4,88,7,9,75000,41.2710841,69.1849411
